NGC	_RA	_Dec	Mag
2403	114.20124999999999	65.61027777777777	 9.5
2414	113.30999999999997	-15.438055555555556	 8.0
2421	114.07249999999998	-20.60638888888889	 9.0
2422	114.13749999999997	-14.473333333333333	 4.5
2423	114.28916666666666	-13.856944444444444	 7.0
2437	115.46208333333333	-14.82611111111111	 6.5
2439	115.24291666666666	-31.659166666666664	 7.0
2447	116.13999999999999	-23.87777777777778	 6.5
2451	116.34791666666665	-37.97833333333333	 3.5
2453	116.93166666666666	-27.246111111111112	 9.0
2467	118.10958333333333	-26.398611111111112	 7.0
2477	118.07249999999999	-38.54861111111111	 5.5
2482	118.74041666666666	-24.3	 8.5
2489	119.04999999999998	-30.06722222222222	 9.5
2506	120.02249999999998	-10.786111111111111	 8.5
2509	120.17874999999998	-19.06972222222222	 9.5
2516	119.55333333333333	-60.868611111111115	 3.5
2527	121.30666666666666	-28.155277777777776	 8.0
2539	122.69374999999998	-12.825	 8.0
2546	123.10541666666663	-37.6425	 5.0
2547	122.65958333333332	-49.25833333333333	 5.0
2548	123.40874999999998	-5.793055555555555	 5.5
2567	124.65249999999999	-30.645555555555553	 8.5
2571	124.72999999999999	-29.745833333333334	 7.5
2579	125.26208333333331	-36.180277777777775	 9.0
2580	125.40416666666665	-30.330277777777777	 9.5
2587	125.83166666666665	-29.497777777777777	 9.0
2627	129.30833333333334	-29.938055555555557	 8.5
2632	130.0095833333333	19.99416666666667	 4.0
2658	130.85291666666663	-32.6575	 9.0
2659	130.66499999999996	-44.940555555555555	 9.5
2670	131.37625	-48.775277777777774	 9.5
2682	132.76708333333332	11.805833333333334	 7.5
2808	137.97208333333333	-64.85333333333332	 8.0
2867	140.35166666666663	-58.30722222222222	 9.5
2910	142.50833333333333	-52.91027777777778	 8.5
2925	143.38333333333333	-53.44499999999999	 8.5
3031	148.91	69.06444444444445	 8.5
3033	147.18166666666664	-56.41694444444444	 8.5
3034	148.96624999999997	69.68111111111112	 9.5
3114	150.67666666666665	-60.12138888888889	 4.5
3132	151.76416666666665	-40.4225	 8.0
3201	154.38208333333333	-46.40888888888889	 9.0
3228	155.42166666666665	-51.72638888888889	 6.5
3247	156.48166666666663	-57.94416666666666	 9.5
3293	158.96458333333334	-58.230000000000004	 7.5
3330	159.6533333333333	-54.14722222222222	 8.5
3496	164.95666666666662	-60.33444444444444	 9.0
3532	166.61708333333328	-58.66861111111111	 3.5
3572	167.61791666666664	-60.23583333333333	 9.0
3590	168.24416666666662	-60.78638888888889	 8.0
3680	171.4258333333333	-43.23777777777778	 8.5
3766	174.0433333333333	-61.60527777777778	 4.5
3918	177.56083333333333	-57.1725	 8.5
3960	177.71166666666664	-55.689166666666665	 9.0
4052	180.47208333333333	-63.189166666666665	 9.0
4103	181.67708333333331	-61.23916666666667	 7.5
4230	184.30999999999997	-55.12222222222222	 9.5
4258	184.73333333333332	47.311388888888885	 9.5
4349	186.04708333333332	-61.88861111111111	 8.0
4372	186.49416666666662	-72.67166666666667	 9.0
4439	187.04958333333332	-60.08833333333334	 8.5
4463	187.48291666666663	-64.7713888888889	 8.0
4590	189.8575	-26.753888888888888	 9.0
4594	189.97541666666666	-11.620555555555557	 9.5
4609	190.59458333333328	-62.97027777777778	 9.0
4736	192.71916666666667	41.130833333333335	 9.5
4755	193.40124999999998	-60.352222222222224	 5.0
4826	194.1820833333333	21.68166666666667	 9.0
4833	194.84666666666664	-70.86805555555554	 8.5
4852	195.03124999999997	-59.60138888888889	 9.0
4945	196.3158333333333	-49.48388888888889	 9.5
5024	198.23124999999996	18.16777777777778	 8.5
5128	201.3170833333333	-43.013333333333335	 7.5
5139	201.70083333333332	-47.312777777777775	 4.0
5236	204.27791666666664	-29.860555555555557	 8.5
5272	205.56333333333328	28.374444444444446	 7.0
5281	206.66625	-62.908055555555556	 8.0
5286	206.54749999999999	-51.374722222222225	 9.5
5316	208.4933333333333	-61.85611111111111	 9.0
5457	210.82125	54.36361111111111	 8.5
5460	211.92749999999998	-48.318333333333335	 6.0
5617	217.44541666666663	-60.7275	 8.5
5662	218.77666666666664	-56.57555555555556	 7.5
5749	222.22583333333333	-54.52027777777778	 9.0
5822	226.30999999999997	-54.34666666666667	 6.5
5823	226.41708333333332	-55.59638888888889	 8.5
5897	229.33583333333328	-21.00777777777778	 9.5
5904	229.64166666666665	2.092777777777778	 7.0
5925	231.92374999999998	-54.51972222222222	 8.5
5927	232.00374999999997	-50.65277777777778	 9.5
5986	236.51041666666666	-37.77722222222222	 8.5
5999	238.04833333333332	-56.490833333333335	 9.0
6025	240.90999999999997	-60.501666666666665	 6.0
6067	243.31749999999994	-54.213055555555556	 6.5
6087	244.7208333333333	-57.91	 6.0
6093	244.27374999999998	-22.99416666666667	 8.5
6121	245.90874999999997	-26.50722222222222	 7.5
6124	246.40499999999997	-40.68944444444444	 6.5
6134	246.94333333333327	-49.17166666666667	 9.0
6152	248.18916666666664	-52.61888888888889	 8.0
6167	248.59749999999994	-49.60138888888889	 6.5
6169	248.52083333333331	-44.05138888888889	 5.5
6178	248.92791666666665	-45.617222222222225	 7.0
6192	250.09416666666667	-43.38138888888889	 8.5
6193	250.34499999999997	-48.76416666666667	 5.5
6200	251.06374999999997	-47.47916666666667	 8.0
6204	251.6120833333333	-47.02777777777778	 8.5
6205	250.42374999999998	36.45305555555556	 7.0
6208	252.3766666666666	-53.82611111111112	 9.0
6210	251.13749999999996	23.78805555555556	 9.5
6218	251.8	-1.9605555555555556	 8.0
6231	253.56458333333325	-41.79	 8.5
6242	253.90583333333333	-39.48916666666667	 8.0
6249	254.40333333333328	-44.771388888888886	 9.5
6250	254.48333333333326	-45.78777777777778	 8.0
6254	254.27999999999994	-4.104722222222222	 7.5
6259	255.1783333333333	-44.669444444444444	 8.5
6266	255.32374999999996	-30.11916666666667	 8.0
6268	255.50749999999996	-39.718611111111116	 9.5
6273	255.63708333333332	-26.251666666666665	 8.5
6281	256.2008333333333	-37.88361111111111	 8.5
6293	257.56333333333333	-26.56388888888889	 9.5
6322	259.62291666666664	-42.95888888888889	 6.5
6333	259.79124999999993	-18.525	 9.0
6341	259.2925	43.14055555555556	 7.5
6352	261.35083333333336	-48.47138888888889	 9.0
6355	261.0137499999999	-26.33888888888889	 9.5
6356	260.91458333333327	-17.805833333333332	 9.5
6362	262.94666666666666	-67.05111111111111	 8.5
6383	263.65916666666664	-32.5825	 5.5
6388	264.05791666666664	-44.748333333333335	 8.5
6397	265.20916666666665	-53.678888888888885	 7.5
6400	265.2	-36.928888888888885	 9.0
6402	264.4033333333333	-3.2805555555555554	 9.5
6405	265.00791666666663	-32.212500000000006	 4.5
6416	266.08375	-32.36	 8.5
6425	266.7308333333333	-31.525	 9.0
6441	267.55041666666665	-37.03972222222222	 9.0
6451	267.6766666666666	-30.20611111111111	 8.5
6469	268.2279166666666	-22.338055555555556	 8.0
6475	268.49249999999995	-34.80416666666667	 3.5
6494	269.24375	-19.01888888888889	 6.0
6507	269.91416666666663	-17.383888888888887	 9.5
6514	270.58	-23.0325	 5.0
6520	270.8691666666666	-27.898333333333333	 7.5
6523	270.78375	-24.381944444444446	 5.0
6530	271.18375	-24.330833333333334	 7.5
6531	271.1533333333333	-22.497777777777777	 7.0
6541	272.00374999999997	-43.72888888888889	 8.0
6543	269.64874999999995	66.6325	 9.0
6546	271.80541666666664	-23.31277777777778	 8.5
6568	273.2008333333333	-21.592777777777776	 8.5
6572	273.02874999999995	6.840277777777778	 9.5
6584	274.6495833333333	-52.20611111111111	 9.5
6595	274.24583333333334	-19.87361111111111	 7.0
6604	274.5258333333333	-12.222777777777777	 8.0
6611	274.7045833333333	-13.772222222222224	 6.5
6613	274.9883333333333	-17.121666666666666	 8.0
6618	275.1858333333333	-16.171111111111113	 7.0
6624	275.9266666666666	-30.352777777777778	 9.5
6626	276.13499999999993	-24.86888888888889	 8.5
6633	276.8795833333333	6.566388888888889	 5.5
6637	277.8329166666666	-32.34805555555556	 9.0
6645	278.1375	-16.8975	 8.5
6656	279.08166666666665	-23.928611111111113	 6.5
6664	279.1904166666667	-8.228055555555555	 9.0
6681	280.80708333333325	-32.30777777777777	 9.0
6683	280.53583333333324	-6.291666666666667	 9.5
6694	281.3433333333333	-9.389722222222222	 9.5
6704	282.7079166666666	-5.203055555555555	 9.5
6705	282.7604166666667	-6.269722222222222	 7.0
6709	282.8708333333333	10.347222222222223	 7.5
6715	283.80041666666665	-30.46722222222222	 8.5
6716	283.6445833333333	-19.884166666666665	 7.0
6720	283.38249999999994	33.03194444444444	 9.5
6723	284.8958333333333	-36.63138888888889	 7.5
6738	285.3429166666666	11.603055555555555	 8.0
6752	287.7008333333333	-59.99166666666667	 7.0
6755	286.93583333333333	4.206944444444445	 9.0
6779	289.14416666666665	30.178611111111113	 9.5
6809	295.02125	-30.941666666666666	 7.0
6811	294.5370833333333	46.5575	 9.0
6826	296.21916666666664	50.528055555555554	 9.0
6830	297.7683333333333	23.08111111111111	 9.0
6838	298.4291666666666	18.7825	 8.5
6853	299.895	22.719166666666666	 7.5
6864	301.54375	-21.927500000000002	 9.5
6866	300.93041666666664	43.988055555555555	 9.0
6871	301.4599999999999	35.7725	 6.0
6882	302.9120833333333	26.541944444444447	 5.5
6883	302.81125	35.841944444444444	 8.0
6885	302.98749999999995	26.475555555555555	 9.0
6910	305.77333333333326	40.78111111111111	 7.5
6913	305.9808333333333	38.531666666666666	 9.0
6940	308.6370833333333	28.303333333333335	 6.5
6994	314.7429166666666	-12.61888888888889	 9.0
7009	316.065	-11.366666666666667	 8.5
7023	315.12624999999997	68.16527777777779	 7.0
7039	318.05041666666665	45.65333333333333	 7.0
7063	321.1058333333333	36.49138888888889	 9.0
7078	322.50249999999994	12.176944444444445	 7.5
7089	323.37166666666667	-0.8219444444444445	 7.5
7092	323.05125	48.44444444444444	 5.5
7099	325.08	-23.18611111111111	 8.5
7160	328.42999999999995	62.60166666666667	 6.5
7209	331.29999999999995	46.48861111111111	 8.0
7235	333.1474999999999	57.27388888888889	 9.0
7243	333.8225	49.874722222222225	 6.5
7296	337.04999999999995	52.29472222222222	 9.5
7380	341.75041666666664	58.09861111111111	 9.0
7510	347.89333333333326	60.56916666666667	 9.5
7654	351.05499999999995	61.587500000000006	 8.0
7662	351.47625	42.5375	 9.0
7686	352.5491666666666	49.12111111111111	 8.0
7788	359.19124999999997	61.38916666666667	 9.5
7789	359.2670833333333	56.722500000000004	 9.5
7790	359.6183333333333	61.20583333333334	 7.0
