083.8502	 -5.4500	 1976	 Nb	05 35.4	-05 27	s	Ori	 	 66.0	 4.0	 	!!! theta1 Ori and the great neb; = M42           	Great Nebula in Orion              	 1976	
083.9002	 -5.2667	 1982	 Nb	05 35.6	-05 16	s	Ori	 	 20.0	 9.0	 	! vB, vL, R with tail, mbM *8-9; = M43            	M  43                              	 1982	
084.0252	+34.1333	 1960	 OC	05 36.1	+34 08	s	Aur	 	 12.0	 6.0	 	Cl, B, vL, vRi, lC, st 9...11 sc; = M36           	M  36                              	 1960	
084.6501	-69.0833	 2070	C+N	05 38.6	-69 05	s	Dor	 	 40.0	 8.2	 	!!! vB, vL, looped                                	Tarantula nebula                   	 2070	
085.2502	 -2.4000	I 434	 Nb	05 41.0	-02 24	s	Ori	 	 60.0	    	 	neb, 60' l, south from zeta Ori                   	Horsehead nebula                   	I 434	(Dark nebula in IC 434)
086.6752	 +0.0500	 2068	 Nb	05 46.7	+00 03	s	Ori	 	  8.0	 8.0	 	B, L, wisp, gmbN, 3 st inv, r; = M78              	M  78                              	 2068	
088.1002	+32.5500	 2099	 OC	05 52.4	+32 33	s	Aur	 	 24.0	 5.6	 	Cl, Ri, pCM, st L & S; = M37                      	M  37                              	 2099	
092.2252	+24.3333	 2168	 OC	06 08.9	+24 20	s	Gem	 	 28.0	 5.1	 	Cl, vL, cRi, pC, st 9...16; = M35                 	M  35                              	 2168	
097.5752	 +5.0500	 2237	 Nb	06 30.3	+05 03	d	Mon	 	     	    	 	pB, vvL, dif, part of eL nebs ring ar 2239        	Rosette nebula                     	 2237	NGC 2237-9, 46
097.6502	 +5.0167	 2238	C+N	06 30.6	+05 01	D	Mon	 	     	    	 	S* in neby, part of eL nebs ring ar 2239          	Rosette nebula                     	 2238	NGC 2237-9, 46
097.7502	 +4.9500	 2239	 OC	06 31.0	+04 57	s	Mon	 	 16.0	    	 	*8 in L, P, B Cl                                  	Rosette nebula                     	 2239	NGC 2237-9, 46
098.1002	 +5.1167	 2246	 Nb	06 32.4	+05 07	r	Mon	 	     	    	 	eeF, L, irr R, e diffic                           	Rosette nebula                     	 2246	NGC 2237-9, 46
099.8002	 +8.7333	 2261	 Nb	06 39.2	+08 44	s	Mon	 	  2.0	    	 	B, vmE 330deg , N com = *11                       	Hubble's variable neb              	 2261	
100.2752	 +9.8833	 2264	C+N	06 41.1	+09 53	s	Mon	 	 60.0	 3.9	 	eL neb, 3deg  diam, densest 12' sp 15 Mon         	Cone nebula                        	 2264	
100.2752	 +9.8833	 2264	C+N	06 41.1	+09 53	s	Mon	 	 60.0	 3.9	 	eL neb, 3deg  diam, densest 12' sp 15 Mon         	Christmas Tree cluster             	 2264	
101.7502	-20.7333	 2287	 OC	06 47.0	-20 44	s	CMa	 	 38.0	 4.5	 	Cl, vL, B, lC, st 8...; = M41                     	M  41                              	 2287	
105.8002	 -8.3333	 2323	 OC	07 03.2	-08 20	s	Mon	 	 16.0	 5.9	 	! Cl, vL, Ri, pC, E, st 12...16; = M50            	M  50                              	 2323	
112.3002	+20.9167	 2392	 Pl	07 29.2	+20 55	s	Gem	 	  0.7	10.0	p	B, S, R, *9 M, *8 nf 100"                         	Eskimo nebula                      	 2392	
114.1502	-14.5000	 2422	 OC	07 36.6	-14 30	s	Pup	 	 30.0	 4.4	 	Cl, B, vL, pRi, st L and S; = M47                 	M  47                              	 2422	
115.4502	-14.8167	 2437	 OC	07 41.8	-14 49	s	Pup	 	 27.0	 6.1	 	!, Cl, vB, vRi, vL, inv PN ; = M46                	M  46                              	 2437	
116.1502	-23.8667	 2447	 OC	07 44.6	-23 52	s	Pup	 	 22.0	 6.2	 	Cl, L, pRi, lC, st 8...13; = M93                  	M  93                              	 2447	
119.2001	-59.1167	I2220	 Nb	07 56.8	-59 07	x	Car	 	     	    	 	!! L, E, spiral, * inv                            	Toby Jug nebula                    	I2220	
119.2001	-59.1167	I2220	 Nb	07 56.8	-59 07	x	Car	 	     	    	 	!! L, E, spiral, * inv                            	Butterfly nebula                   	I2220	
123.3002	+46.0000	 2537	 Gx	08 13.2	+46 00	s	Lyn	 	  1.7	11.7	 	glob. cl. , pB, pL, R, rrr, st 20                 	Bear Paw galaxy                    	 2537	
123.4502	 -5.8000	 2548	 OC	08 13.8	-05 48	s	Hya	 	 54.0	 5.8	 	Cl, vL, pRi, pmC, st 9...13; = M48                	M  48                              	 2548	
130.0252	+19.9834	 2632	 OC	08 40.1	+19 59	s	Cnc	 	 95.0	 3.1	 	Praesepe; = M44                                   	Praesepe                           	 2632	
130.0252	+19.9834	 2632	 OC	08 40.1	+19 59	s	Cnc	 	 95.0	 3.1	 	Praesepe; = M44                                   	M  44                              	 2632	
130.0252	+19.9834	 2632	 OC	08 40.1	+19 59	s	Cnc	 	 95.0	 3.1	 	Praesepe; = M44                                   	Beehive cluster                    	 2632	(See Praesepe)
132.6002	+11.8167	 2682	 OC	08 50.4	+11 49	s	Cnc	 	 30.0	 6.9	 	! Cl, vB, vL, eRi, lC, st 10...15; = M67          	M  67                              	 2682	
133.9002	+58.7334	 2685	 Gx	08 55.6	+58 44	s	UMa	 	  5.2	11.1	 	pF, R, F* in centre                               	Helix galaxy                       	 2685	
